filename,beta1,beta2,learning_rate,rel_inp_dropout,rel_hid_dropout,rel_hidden_dim,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V6_271_5fold_1_20200614225331,0.0,1.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200614225345/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200614225345/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200614225345/test/"" ",0.2027,0.4828,0.5977,0.7743,68.28,0.3331,0.0013,0.344,0.4382,0.6599,128.3049,0.1631,0.0013
C_S_V6_271_5fold_1_20200614225431,0.0,0.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200614225445/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200614225445/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200614225445/test/"" ",0.0794,0.1452,0.1944,0.3438,205.4901,0.1215,0.0026,0.1743,0.238,0.4051,194.3622,0.0894,0.0078
C_S_V6_271_5fold_1_20200615001737,1.0,2.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615001754/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615001754/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615001754/test/"" ",0.0899,0.1923,0.2665,0.4901,152.6656,0.1476,0.0052,0.0377,0.0657,0.2347,323.5124,0.0321,0.541
C_S_V6_271_5fold_1_20200615001837,1.0,3.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615001855/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615001855/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615001855/test/"" ",0.0606,0.1588,0.2288,0.4859,146.9331,0.118,0.0052,0.0364,0.0611,0.2035,334.513,0.0293,0.5423
C_S_V6_271_5fold_1_20200615012746,1.0,0.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615012803/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615012803/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615012803/test/"" ",0.1787,0.3553,0.4441,0.6531,106.1797,0.2663,0.0104,0.0631,0.1047,0.2737,279.3329,0.0452,0.515
C_S_V6_271_5fold_1_20200615025636,2.0,3.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615025653/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615025653/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615025653/test/"" ",0.0982,0.2309,0.3103,0.5684,120.6123,0.169,0.0052,0.0312,0.0566,0.1964,343.7874,0.0282,0.554
C_S_V6_271_5fold_1_20200615051723,2.0,4.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615051736/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615051736/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615051736/test/"" ",0.0533,0.1546,0.2341,0.466,148.9237,0.1138,0.002,0.0247,0.0514,0.1814,356.513,0.0227,0.5384
C_S_V6_271_5fold_1_20200615073814,3.0,4.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615073828/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615073828/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615073828/test/"" ",0.1149,0.28,0.3615,0.6155,109.9666,0.1987,0.0026,0.0267,0.0501,0.1671,365.0124,0.0224,0.5384
C_S_V6_271_5fold_1_20200615073914,3.0,5.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615073930/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615073930/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615073930/test/"" ",0.0731,0.1735,0.2644,0.5266,134.0178,0.1344,0.0052,0.0273,0.0462,0.1704,366.6593,0.0243,0.515
C_S_V6_271_5fold_1_20200615100049,4.0,4.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615100105/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615100105/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615100105/test/"" ",0.1223,0.3114,0.3981,0.6343,109.3898,0.2167,0.0046,0.028,0.0572,0.1873,359.961,0.0255,0.58
